ID;Наименование;Ссылка на товар;Регулярная цена;Бренд
221693;Маркер Edding краска лаковый E-792/49 белый;https://online.metro-cc.ru/products/marker-kraska-lak-e-79249-08mm-edding;399;EDDING
210980;Набор текстовыделителей Berlingo Textline двусторонних HL220 8 цветов;https://online.metro-cc.ru/products/nabor-tekstovyd-dvustor-textline-hl220-4sht-8tsv-berlingo;289;BERLINGO
221548;Набор канцелярских принадлежностей Bruno Visconti Color 2 предмета (ластик;https://online.metro-cc.ru/products/nabor-2-predmeta-kants-prinadl-bv;299;BRUNO VISCONTI
221831;Маркер Edding промышленный E-8750 красный;https://online.metro-cc.ru/products/marker-promyshl-e-8750-2-4mm-edding-221831;599;EDDING
663534;Маркеры-краски Munhwa Slim 2 цвета;https://online.metro-cc.ru/products/kraska-munhwa-slim-2-sht;299;MUNHWA
659058;SIGMA Маркеры перманентные 4 цвета;https://online.metro-cc.ru/products/sigma-permanentnyj-10-sht;179;SIGMA
221665;Ручка Berlingo Velvet гелевая черная;https://online.metro-cc.ru/products/ruchka-gelevaya-velvet-3sht-berlingo;159;BERLINGO
221707;Маркер Edding перманентный E-404/1 черный;https://online.metro-cc.ru/products/marker-edding-permanentnyy-e-4041-chernyy-075mm-221707;359;EDDING
221662;Ручка Berlingo Apex гелевая черная;https://online.metro-cc.ru/products/ruchka-gelevaya-apex-10sht-berlingo;329;BERLINGO
43682;Ручки шариковые Berlingo Tribase синие 0.7мм;https://online.metro-cc.ru/products/sharikovye-tribase-berlingo-sinie-07-mm-50-sht;599;BERLINGO
221701;Маркер Edding перманентный E-390/1 черный;https://online.metro-cc.ru/products/marker-perm-e-3901-4-12mm-edding;599;EDDING
110079;Текстовыделитель Berlingo Textline HL300 скошенные 1-5мм неон;https://online.metro-cc.ru/products/berlingo-textline-hl300-nabor-4-sht-skoshennye-1-5-mm-neon;299;BERLINGO
115576;Ручки шариковые автоматические Berlingo Classico синие 0.7мм;https://online.metro-cc.ru/products/ruchk-shar-avt-classicp-sin-07mm-3sh-berlingo;179;BERLINGO
108838;Маркеры-текстовыделители Kores High Liner Plus пастель;https://online.metro-cc.ru/products/teksta-kores-high-liner-plus-pastelnye-6-cvetov;499;KORES
221708;Маркер Edding перманентный E-404/1 черный;https://online.metro-cc.ru/products/marker-edding-permanentnyy-e-4041-chernyy-075mm-221708;269;EDDING
210979;Набор маркеров Berlingo Multiline перманентных PE300 4 цвета;https://online.metro-cc.ru/products/nabor-permanentnyh-markerov-3mm-multiline-pe300-4tsv-berlingo;229;BERLINGO
132346;Ручки шариковые автоматические Schneider K15;https://online.metro-cc.ru/products/ruchki-sharikovye-avtomaticheskie-k15-schneider-4sht;499;SCHNEIDER
115930;Текстовыделитель Stabilo Swing Cool;https://online.metro-cc.ru/products/tekstovydeliteli-swing-cool-4sht-stabilo;759;STABILO
131743;Набор ластиков BIC Mini Fun;https://online.metro-cc.ru/products/nabor-lastikov-bic-mini-fun-3sht;299;BIC
210977;Ручка-корректор Berlingo 3 штуки;https://online.metro-cc.ru/products/3sht-ruchka-korrektor-12ml-berlingo;279;BERLINGO
626143;Ручки шариковые BIC Round Stic Exact синие;https://online.metro-cc.ru/products/ruchki-sharikovye-bic-round-stic-exact-sinie-20sht;559;BIC
